systemNanoTime (in ns);utcMilliTime (in ms);latitude (in deg);longitude (in deg);altitude (in m);speed (in m/s);bearing (in deg);azimuth (in deg);pitch (in deg);roll (in deg);gyrx (in rad/s);gyry (in rad/s);gyrz (in rad/s);accx (in m/s2);accy (in m/s2);accz (in m/s2)
150274036095590;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.08733802288770676;3.5754752159118652;8.879764556884766
150274158691058;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.07896314561367035;3.576671600341797;8.900103569030762
150274162302465;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.04905286431312561;3.5958142280578613;8.980263710021973
150274164340329;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.02751746028661728;3.6436707973480225;9.056833267211914
150274165449913;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.05144568532705307;3.728914976119995;9.058030128479004
150274166308298;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.064606212079525;3.774378538131714;9.023334503173828
150274167148871;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.04546362906694412;3.7767715454101562;9.06281566619873
150274175187986;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.039481572806835175;3.78753924369812;9.181260108947754
150274226662829;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;-0.003589233849197626;3.8162529468536377;9.339486122131348
150274230383038;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;-0.0011964113218709826;3.8796627521514893;9.388538360595703
150274232731319;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.008374879136681557;3.9574296474456787;9.398110389709473
150274234307829;0;0.0;0.0;0.0;0.0;0.0;324.12554931640625;-19.344816207885742;-0.9699568748474121;0.029778804630041122;0.028633465990424156;0.07330167293548584;0.008374879136681557;3.9574296474456787;9.398110389709473
150274235651423;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;0.008374879136681557;3.9574296474456787;9.398110389709473
150274380247569;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.13639089465141296;4.022035598754883;9.431609153747559
150274389507517;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.2069791555404663;3.998107433319092;9.533304214477539
150274392912777;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.18903298676013947;3.9311084747314453;9.571589469909668
150274395344392;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.13160525262355804;3.9406797885894775;9.474679946899414
150274397922308;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.13280165195465088;4.0304107666015625;9.289237022399902
150274399721110;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.13280165195465088;3.894019842147827;9.17886734008789
150274401819235;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.08973085135221481;3.7384862899780273;9.229117393493652
150274403813975;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.15912270545959473;3.5958142280578613;9.242277145385742
150274405976735;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.1698904037475586;3.4749767780303955;9.18724250793457
150274409786006;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.1052841991186142;3.404388427734375;8.904889106750488
150274424966163;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;0.029778804630041122;0.028633465990424156;0.07330167293548584;-0.05503492057323456;3.4606196880340576;8.827122688293457
150274430027100;0;0.0;0.0;0.0;0.0;0.0;322.7143859863281;-20.75956153869629;-0.6943917274475098;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.05503492057323456;3.4606196880340576;8.827122688293457
150274433986163;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.05503492057323456;3.4606196880340576;8.827122688293457
150274501360850;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.06699903309345245;3.4235310554504395;9.043673515319824
150274504677621;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.20338992774486542;3.3517463207244873;9.120243072509766
150274506590329;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.5303093194961548;3.2715866565704346;9.230313301086426
150274578398090;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.6583253145217896;3.0391838550567627;9.317950248718262
150274585609965;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.7863413691520691;3.3194432258605957;8.981459617614746
150274589335017;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.610468864440918;3.4845480918884277;9.174081802368164
150274591370277;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.3891327679157257;3.4534413814544678;9.296415328979492
150274594064131;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.12203395366668701;3.356531858444214;9.103493690490723
150274613377465;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.06939185410737991;3.3541390895843506;8.986245155334473
150274617561787;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;-0.2367033064365387;0.21028417348861694;0.11842801421880722;-0.0849452018737793;3.805485248565674;8.96949577331543
150274620000069;0;0.0;0.0;0.0;0.0;0.0;321.5721435546875;-21.107074737548828;-0.5110913515090942;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.0849452018737793;3.805485248565674;8.96949577331543
150274622537517;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.0849452018737793;3.805485248565674;8.96949577331543
150274658824965;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.14476576447486877;4.2484564781188965;9.111868858337402
150274665304496;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.33768710494041443;4.302295207977295;9.28564739227295
150274726349548;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.19621145725250244;3.774378538131714;9.780961990356445
150274730689235;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.04546362906694412;3.31465744972229;9.916455268859863
150274734064235;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;0.08973085135221481;3.4055848121643066;9.52612590789795
150274776671840;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.07776673883199692;3.7612180709838867;9.411270141601562
